"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"911",1,3,9,1,44,1
"912",1,3,9,1,38,1
"913",1,3,9,8,29,1
"914",1,3,9,8,29,1
"915",1,3,9,3,26,1
"916",1,2,9,5,34,1
"917",1,3,9,5,27,1
"918",2,3,9,5,32,0
"919",1,3,9,1,45,1
"920",3,3,9,1,57,1
"921",1,3,9,1,18,1
"922",2,3,9,1,17,1
"923",2,3,9,1,16,1
"924",2,3,9,1,17,1
"925",3,3,9,4,13,1
"926",3,3,9,4,37,1
"927",3,3,9,5,16,1
"928",1,2,1,1,50,1
"929",1,3,9,1,45,1
"930",1,3,9,1,64,1
"931",3,3,9,1,79,1
"932",1,3,1,1,23,1
"933",1,3,9,1,68,1
"934",3,3,20,1,69,1
"935",1,3,9,1,48,1
"936",1,3,9,1,40,1
"937",2,3,9,1,7,1
"938",2,3,9,1,3,1
"939",2,3,9,1,36,1
"940",1,3,9,1,42,1
"941",1,3,9,1,47,1
"942",3,3,9,1,85,1
"943",1,2,9,1,66,1
"944",2,3,9,1,67,1
"945",1,3,9,1,33,1
"946",1,3,21,1,28,1
"947",2,1,9,1,44,1
"948",1,2,9,1,34,1
"949",1,3,9,1,46,1
"950",2,3,9,1,52,1
"951",2,3,9,1,14,1
"952",2,3,9,1,14,1
"953",2,3,9,1,15,1
"954",1,3,9,1,68,1
"955",1,3,9,1,34,1
"956",1,3,9,1,47,1
"957",1,3,3,1,29,1
"958",3,3,9,1,76,1
"959",1,3,9,1,39,1
"960",3,2,9,1,76,1
"961",1,3,9,1,36,1
"962",1,3,9,1,45,1
"963",1,3,9,1,45,1
"964",1,3,9,1,48,1
"965",1,3,9,1,45,1
"966",1,3,9,2,22,1
"967",2,3,9,2,14,1
"968",3,3,9,6,42,1
"969",1,3,9,1,58,1
"970",1,3,1,1,27,1
"971",2,3,9,1,5,1
"972",3,2,9,1,61,1
"973",3,3,9,1,9,1
"974",2,2,9,1,25,1
"975",1,3,9,1,57,1
"976",3,3,9,1,70,1
"977",1,3,3,1,42,1
"978",1,2,9,1,82,1
"979",3,3,9,1,20,1
"980",3,3,9,1,29,1
"981",1,3,9,2,51,1
"982",1,3,9,1,23,1
"983",2,3,9,2,10,1
"984",2,3,9,1,10,1
"985",1,3,1,1,49,1
"986",1,3,9,1,32,1
"987",2,3,9,1,4,1
"988",3,1,9,2,48,1
"989",1,3,9,1,34,1
"990",3,3,9,1,18,1
"991",1,2,4,1,22,1
"992",1,3,9,1,36,1
"993",1,2,9,1,71,1
"994",3,3,9,1,32,1
"995",1,2,4,1,55,1
"996",1,3,4,1,61,1
"997",3,3,9,1,12,1
"998",1,3,1,1,17,1
"999",3,3,9,1,84,1
"1000",1,3,1,1,49,1
"1001",1,3,9,1,24,1
"1002",1,3,9,1,40,1
"1003",1,3,9,1,40,1
"1004",3,2,9,2,46,1
"1005",1,2,1,2,66,1
"1006",3,3,9,1,23,1
"1007",1,3,9,5,65,1
"1008",2,3,9,5,54,1
"1009",3,3,8,2,37,1
"1010",1,3,5,2,45,1
"1011",2,3,9,1,29,1
"1012",1,3,9,1,67,1
"1013",1,3,9,2,84,1
"1014",2,3,9,1,24,1
"1015",3,2,9,1,48,1
"1016",3,2,9,1,3,1
"1017",1,2,90,1,32,1
"1018",1,2,3,1,25,1
"1019",3,3,9,1,30,1
"1020",1,2,1,1,19,1
"1021",1,3,1,1,9,1
"1022",1,3,9,1,35,1
"1023",2,3,9,1,27,1
"1024",3,2,9,1,8,1
"1025",1,3,9,1,25,1
"1026",2,3,9,1,23,1
"1027",2,3,9,1,23,1
"1028",2,3,9,1,24,1
"1029",1,3,3,1,18,1
"1030",1,3,1,1,51,1
"1031",1,3,9,1,32,1
"1032",1,3,90,1,10,1
"1033",1,3,2,1,28,1
"1034",1,3,9,1,39,1
"1035",1,3,9,1,24,1
"1036",1,3,1,1,28,1
"1037",3,3,9,1,13,1
"1038",1,3,9,1,27,1
"1039",1,3,9,1,31,1
"1040",1,3,3,2,17,1
"1041",1,3,9,1,25,1
"1042",2,3,8,1,32,1
"1043",1,3,8,1,34,1
"1044",2,3,9,1,32,1
"1045",2,3,9,1,22,1
"1046",2,3,9,1,20,1
"1047",1,3,3,1,29,1
"1048",1,3,1,1,16,1
"1049",1,3,1,1,19,1
"1050",1,3,9,1,23,1
"1051",2,3,9,1,23,1
"1052",2,3,9,1,19,1
"1053",2,3,9,1,19,1
"1054",1,3,9,1,20,1
"1055",3,3,9,2,64,1
"1056",1,3,19,2,30,1
"1057",2,3,9,2,43,1
"1058",1,3,9,2,31,1
"1059",1,3,9,1,22,1
"1060",1,3,9,1,20,1
"1061",1,3,3,1,32,1
"1062",1,3,9,1,22,1
"1063",1,3,8,1,42,1
"1064",1,3,3,1,19,1
"1065",1,3,9,1,24,1
"1066",1,3,9,5,41,1
"1067",1,3,1,1,43,1
"1068",1,3,9,1,60,1
"1069",1,3,1,1,48,1
"1070",1,3,9,1,25,1
"1071",1,3,9,1,39,1
"1072",3,3,9,1,74,1
"1073",1,3,1,1,14,1
"1074",1,3,9,1,53,1
"1075",1,1,9,1,81,1
"1076",1,3,9,1,45,1
"1077",3,2,9,1,11,1
"1078",2,2,90,1,2,1
"1079",3,3,9,1,8,1
"1080",2,3,9,1,29,1
"1081",1,3,9,1,39,1
"1082",3,3,9,1,66,1
"1083",1,3,9,1,18,1
"1084",2,3,9,1,19,1
"1085",2,3,9,1,17,1
"1086",2,3,9,1,19,1
"1087",1,3,9,1,54,1
"1088",1,3,9,1,44,1
"1089",1,2,5,1,27,1
"1090",3,3,8,1,25,1
"1091",1,3,9,1,21,1
"1092",1,3,3,1,23,1
"1093",1,3,9,1,23,1
"1094",2,3,9,1,18,1
"1095",1,3,9,1,57,1
"1096",1,3,9,1,34,1
"1097",3,3,8,2,19,1
"1098",1,3,5,1,53,1
"1099",1,3,9,1,53,1
"1100",1,3,9,1,23,1
"1101",1,3,9,2,19,1
"1102",1,3,9,2,20,1
"1103",1,3,9,5,42,1
"1104",1,3,9,5,41,1
"1105",1,3,9,5,37,1
"1106",1,3,9,5,22,1
"1107",1,3,5,1,35,1
"1108",1,3,9,1,47,1
"1109",2,3,9,1,27,1
"1110",2,3,9,1,25,1
"1111",2,3,9,1,60,1
"1112",2,3,9,1,44,1
"1113",2,3,9,1,10,1
"1114",1,2,9,1,34,1
"1115",1,3,9,1,40,1
"1116",1,2,1,1,25,1
"1117",3,2,9,1,9,1
"1118",1,3,21,1,49,1
"1119",1,2,4,1,24,1
"1120",1,3,3,1,42,1
"1121",1,3,1,1,43,1
"1122",1,3,1,1,19,1
"1123",1,3,9,1,28,1
"1124",2,3,9,1,29,1
"1125",1,3,21,1,52,1
"1126",2,3,9,1,24,1
"1127",1,2,1,1,42,1
"1128",1,3,19,1,42,1
"1129",1,3,19,1,60,1
"1130",2,3,11,1,3,1
"1131",1,3,9,2,52,1
"1132",1,3,9,2,25,1
"1133",3,3,9,2,30,1
"1134",1,3,8,1,50,1
"1135",2,3,8,1,44,1
"1136",1,3,9,1,28,1
"1137",1,3,1,4,51,1
"1138",3,3,9,1,30,1
"1139",1,3,9,1,36,1
"1140",1,3,17,1,20,1
"1141",2,3,8,1,22,1
"1142",1,2,4,1,17,1
"1143",1,3,9,1,35,1
"1144",2,3,9,1,74,1
"1145",1,3,3,1,18,1
"1146",1,3,9,1,71,1
"1147",1,2,1,1,45,1
"1148",2,3,9,1,24,1
"1149",2,3,9,1,34,1
"1150",1,2,9,1,38,1
"1151",2,2,9,1,19,1
"1152",2,2,9,1,35,1
"1153",1,2,9,1,22,1
"1154",2,2,9,1,20,1
"1155",2,2,9,1,19,1
"1156",2,2,9,1,17,1
"1157",2,2,9,1,19,1
"1158",3,3,9,1,42,1
"1159",2,1,9,1,16,1
"1160",2,3,9,1,28,1
"1161",1,2,9,1,22,1
"1162",1,3,3,1,46,1
"1163",2,3,9,1,50,1
"1164",1,3,9,1,57,1
"1165",1,3,9,1,47,1
"1166",3,3,21,1,86,1
"1167",1,3,3,1,32,1
"1168",2,3,9,1,9,1
"1169",1,3,1,1,35,1
"1170",1,3,9,1,46,1
"1171",1,2,9,1,49,1
"1172",1,3,4,1,21,1
"1173",3,2,9,1,41,1
"1174",2,2,9,1,51,1
"1175",1,3,9,1,62,1
"1176",1,3,9,1,44,1
"1177",3,3,9,1,7,1
"1178",1,3,9,1,56,1
"1179",1,2,9,1,48,1
"1180",2,2,9,1,30,1
"1181",1,2,9,1,33,1
"1182",3,3,9,2,14,1
"1183",3,2,9,1,8,1
"1184",3,3,21,1,42,1
"1185",1,3,1,1,21,1
"1186",1,3,9,1,55,1
"1187",1,3,9,1,45,1
"1188",1,3,9,1,65,1
"1189",1,3,9,1,37,1
"1190",1,2,9,1,65,1
"1191",1,3,9,1,47,1
"1192",1,3,9,1,25,1
"1193",1,3,9,1,36,1
"1194",1,3,1,1,59,1
"1195",1,2,3,1,54,1
"1196",1,3,9,1,32,1
"1197",2,3,9,1,19,1
"1198",1,3,9,1,57,1
"1199",1,3,9,1,46,1
"1200",1,3,9,1,31,1
"1201",1,3,3,1,37,1
"1202",1,2,9,1,41,1
"1203",3,3,9,1,11,1
"1204",3,3,9,1,25,1
"1205",1,3,9,1,39,1
"1206",3,2,9,1,24,1
"1207",3,3,9,1,55,1
"1208",3,2,90,1,13,1
"1209",2,3,9,2,39,1
"1210",1,3,3,2,17,1
"1211",1,2,1,1,18,1
"1212",1,3,5,1,58,1
"1213",1,2,1,1,30,1
"1214",1,3,9,1,83,1
"1215",2,2,9,1,34,1
"1216",2,3,9,1,45,1
"1217",1,3,9,1,54,1
"1218",1,3,3,1,18,1
"1219",1,3,4,1,37,0
"1220",2,3,9,2,26,1
"1221",2,3,9,1,19,1
"1222",1,3,9,1,57,1
"1223",1,3,9,1,35,1
"1224",2,3,9,1,6,1
"1225",2,3,9,1,10,1
"1226",2,3,9,1,39,1
"1227",2,3,9,1,21,1
"1228",1,3,9,1,22,1
"1229",2,3,9,1,44,1
"1230",2,3,9,1,18,1
"1231",3,3,9,1,44,1
"1232",1,3,1,1,45,1
"1233",3,2,9,1,22,1
"1234",3,3,9,1,12,1
"1235",1,3,5,1,66,1
"1236",1,3,9,1,67,1
"1237",3,3,11,1,74,1
"1238",1,3,4,2,20,1
"1239",2,3,9,2,28,1
"1240",2,3,9,2,31,1
"1241",3,1,9,1,46,1
"1242",1,3,9,1,51,1
"1243",1,3,1,1,7,1
"1244",1,3,3,1,20,1
"1245",1,3,5,2,36,1
"1246",1,3,9,1,55,1
"1247",1,3,11,1,58,1
"1248",2,3,11,1,79,1
"1249",3,3,9,1,7,1
"1250",1,3,3,1,19,1
"1251",3,3,9,1,9,1
"1252",1,3,1,1,9,1
"1253",2,2,9,1,71,1
"1254",1,3,9,1,47,1
"1255",1,3,9,1,68,1
"1256",1,3,1,1,15,1
"1257",1,3,9,1,21,1
"1258",2,3,9,1,18,1
"1259",1,3,3,1,23,1
"1260",1,2,3,1,19,1
"1261",1,3,1,1,7,1
"1262",1,3,9,1,26,1
"1263",1,2,3,1,30,1
"1264",3,3,9,1,18,1
"1265",1,3,9,1,56,1
"1266",1,3,4,1,56,1
"1267",1,3,9,1,41,1
"1268",3,3,9,1,46,1
"1269",1,3,9,1,53,1
"1270",1,3,9,1,35,1
"1271",1,3,19,1,63,1
"1272",1,3,9,2,27,1
"1273",1,3,1,1,68,1
"1274",1,3,9,1,23,1
"1275",1,3,9,1,50,1
"1276",1,3,9,1,45,1
"1277",3,3,9,1,25,1
"1278",1,2,1,1,31,1
"1279",1,3,9,1,25,1
"1280",1,3,9,1,32,1
"1281",1,3,9,1,56,1
"1282",3,3,9,1,44,1
"1283",1,3,1,1,63,1
"1284",1,3,9,1,59,1
"1285",1,3,9,1,18,1
"1286",1,3,2,1,22,1
"1287",1,3,9,1,23,1
"1288",1,3,9,1,46,1
"1289",3,3,9,1,11,1
"1290",2,3,9,1,47,1
"1291",1,3,9,1,55,1
"1292",1,3,1,1,50,1
"1293",1,3,9,1,20,1
"1294",3,2,11,1,61,1
"1295",3,3,9,1,16,1
"1296",2,3,11,1,78,1
"1297",2,3,9,1,47,1
"1298",3,2,9,1,10,1
"1299",1,3,9,1,25,1
"1300",2,3,9,1,29,1
"1301",3,3,9,1,5,1
"1302",3,2,9,1,1,1
"1303",1,3,5,1,35,1
"1304",1,3,9,1,36,1
"1305",1,3,1,1,6,1
"1306",3,3,9,1,63,1
"1307",1,3,9,1,24,1
"1308",1,3,9,1,27,1
"1309",1,3,9,1,53,1
"1310",2,3,9,1,19,1
"1311",1,3,1,1,16,1
"1312",1,3,1,2,28,1
"1313",3,3,9,1,5,1
"1314",1,3,9,1,32,1
"1315",1,3,9,1,41,1
"1316",3,2,9,1,13,1
"1317",1,2,9,1,26,1
"1318",1,2,9,1,19,1
"1319",1,2,5,1,37,1
"1320",3,3,9,1,7,1
"1321",1,3,9,1,59,1
"1322",1,3,9,1,54,1
"1323",1,2,9,1,83,1
"1324",1,3,9,1,28,1
"1325",1,3,18,1,47,1
"1326",2,3,18,1,9,1
"1327",2,3,18,1,10,1
"1328",1,3,9,1,41,1
"1329",1,3,9,1,19,1
"1330",1,3,9,1,43,1
"1331",1,2,9,1,21,1
"1332",1,3,9,1,49,1
"1333",2,3,9,1,12,1
"1334",3,3,21,1,18,1
"1335",1,3,3,1,31,1
"1336",1,3,9,1,54,1
"1337",1,3,9,1,25,1
"1338",1,3,9,1,30,1
"1339",2,3,9,2,8,1
"1340",2,3,9,2,13,1
"1341",1,3,9,4,42,1
"1342",1,3,9,7,29,1
"1343",2,3,9,7,36,1
"1344",2,3,9,7,27,1
"1345",2,3,9,7,23,1
"1346",1,2,1,1,44,1
"1347",1,3,1,1,26,1
"1348",1,2,1,1,42,1
"1349",3,3,9,7,19,1
"1350",3,2,9,2,28,1
"1351",3,3,9,1,63,1
"1352",1,3,2,1,17,1
"1353",1,3,9,1,36,1
"1354",3,3,9,1,31,0
"1355",3,3,9,1,76,1
"1356",1,3,9,1,29,1
"1357",1,3,9,5,27,1
"1358",1,3,9,1,43,1
"1359",1,3,9,1,24,1
"1360",1,3,3,4,42,1
"1361",3,3,3,4,25,1
"1362",3,3,9,2,15,1
"1363",1,3,9,1,31,1
"1364",3,3,9,1,87,1
"1365",1,3,3,2,36,1
"1366",1,3,9,2,30,1
"1367",3,3,19,5,15,1
"1368",3,3,9,5,23,1
"1369",1,3,9,2,31,1
"1370",2,3,9,2,61,1
"1371",3,3,9,1,17,1
"1372",3,3,9,1,17,1
"1373",2,3,9,5,64,1
"1374",1,3,9,5,20,1
"1375",1,3,9,5,55,1
"1376",1,3,9,4,52,1
"1377",1,3,9,1,38,1
"1378",1,3,9,1,49,1
"1379",1,3,9,2,49,1
"1380",1,3,9,5,20,1
"1381",1,3,9,5,24,1
"1382",3,3,9,2,19,1
"1383",1,2,9,1,88,1
"1384",2,3,9,1,20,1
"1385",1,3,9,1,20,1
"1386",1,2,9,1,18,1
"1387",2,3,9,1,15,1
"1388",2,3,9,1,15,1
"1389",3,2,9,1,58,1
"1390",1,2,4,1,23,1
"1391",3,3,9,1,7,1
"1392",1,3,9,1,31,1
"1393",2,3,8,1,33,1
"1394",3,3,9,1,54,1
"1395",1,3,9,1,22,1
"1396",1,3,9,1,43,1
"1397",1,3,9,2,27,1
"1398",1,3,8,2,30,1
"1399",1,3,9,5,29,1
"1400",1,2,4,1,18,1
"1401",3,3,10,1,66,1
"1402",1,2,5,2,38,0
"1403",1,3,9,1,64,1
"1404",3,3,9,2,43,1
"1405",1,3,9,2,54,1
"1406",1,3,9,2,45,1
"1407",2,3,9,5,47,1
"1408",2,3,9,5,24,1
"1409",1,3,9,5,49,1
"1410",2,3,9,5,3,1
"1411",1,3,16,1,40,1
"1412",1,3,21,5,62,1
"1413",1,3,9,1,27,1
"1414",1,3,9,1,43,1
"1415",2,3,9,1,18,1
"1416",3,3,9,1,14,1
"1417",3,2,9,1,87,1
"1418",3,3,9,1,44,1
"1419",1,3,9,2,31,1
"1420",1,3,9,2,48,1
"1421",2,3,8,2,21,1
"1422",3,2,9,2,47,1
"1423",1,3,3,2,23,1
"1424",2,3,8,2,1,1
"1425",3,2,20,1,40,1
"1426",3,2,9,1,69,1
"1427",3,2,9,1,49,1
"1428",1,3,5,5,49,1
"1429",3,3,9,1,62,1
"1430",1,3,9,5,32,1
"1431",3,3,9,5,15,1
"1432",3,1,90,1,59,1
"1433",1,3,9,1,34,1
"1434",1,3,16,1,22,1
"1435",1,3,9,2,27,1
"1436",2,3,9,2,22,1
"1437",2,3,9,2,2,1
"1438",1,3,9,1,27,1
"1439",1,3,9,2,28,1
"1440",1,3,9,2,36,1
"1441",2,2,19,1,38,1
"1442",2,3,9,1,44,1
"1443",1,3,19,2,20,1
"1444",1,3,9,2,49,1
"1445",1,3,9,2,43,1
"1446",2,3,9,2,79,1
"1447",3,3,9,9,8,1
"1448",3,3,9,1,15,1
"1449",3,3,9,1,17,1
"1450",1,3,9,8,29,1
"1451",2,3,9,8,9,1
"1452",2,3,9,8,11,1
"1453",2,3,9,8,8,1
"1454",1,3,19,1,28,1
"1455",1,3,9,1,29,1
"1456",2,3,9,1,56,1
"1457",2,3,9,1,30,1
"1458",2,3,9,1,28,1
"1459",2,2,8,1,52,1
"1460",3,3,9,1,35,1
"1461",3,3,9,2,40,1
"1463",1,3,9,2,40,1
"1464",2,3,9,2,22,1
"1465",1,3,9,1,24,1
"1466",2,3,9,1,43,1
"1467",1,1,9,1,20,1
"1468",2,1,9,1,19,1
"1469",2,3,9,1,19,1
"1470",1,3,1,4,53,1
"1471",2,3,9,2,5,1
"1472",1,3,9,1,42,1
"1473",3,2,9,3,33,1
"1474",3,3,9,1,16,1
"1475",3,3,9,1,51,1
"1476",3,3,9,4,52,1
"1477",3,3,9,2,18,1
"1478",1,3,8,5,25,1
"1479",1,3,9,1,69,1
"1480",1,3,8,1,34,1
"1481",1,3,9,1,19,1
"1482",2,2,9,1,18,1
"1483",1,3,9,1,29,1
"1484",2,3,9,1,29,1
"1485",3,3,9,1,49,1
"1486",1,3,9,1,46,1
"1487",1,3,9,9,27,1
"1488",2,3,11,1,46,1
"1489",1,3,9,2,21,1
"1490",1,3,9,2,77,1
"1491",1,3,11,1,56,1
"1492",1,3,9,1,36,1
"1493",1,3,9,1,33,1
"1494",1,3,19,1,28,1
"1495",1,3,5,1,54,1
"1496",3,3,5,1,60,1
"1497",1,3,8,1,44,1
"1498",1,2,1,1,67,1
"1499",1,3,9,1,39,1
"1500",2,3,9,1,46,1
"1501",1,3,9,2,27,1
"1502",1,3,9,1,33,1
"1503",2,3,9,1,40,1
"1504",2,3,9,1,32,1
"1505",2,3,9,1,21,1
"1506",1,2,9,1,21,1
"1507",2,3,9,1,21,1
"1508",1,2,9,1,44,1
"1509",1,3,9,1,45,1
"1510",2,3,9,1,17,1
"1511",3,3,9,1,48,1
"1512",1,2,9,1,67,1
"1513",2,3,9,1,20,1
"1514",1,3,9,1,27,1
"1515",1,3,9,9,31,1
"1516",1,3,9,9,62,1
"1517",1,3,9,1,56,1
"1518",1,3,9,1,57,1
"1519",1,3,9,9,38,1
"1520",1,3,9,1,17,1
"1521",1,3,9,1,38,1
"1522",1,1,9,1,58,1
"1523",3,3,11,1,38,1
"1524",1,3,9,1,22,1
"1525",1,3,19,1,27,1
"1526",1,3,9,1,32,1
"1527",2,3,9,1,70,1
"1528",2,2,9,1,52,1
"1529",1,3,9,1,26,1
"1530",1,3,9,1,39,1
"1531",2,3,9,1,45,1
"1532",2,3,9,1,10,1
"1533",2,3,9,1,6,1
"1534",1,3,1,1,41,1
"1535",1,3,9,1,25,1
"1536",1,2,3,1,56,1
"1537",1,3,9,2,58,1
"1538",1,3,9,2,50,1
"1539",3,2,9,1,73,1
"1540",1,3,9,1,21,1
"1541",1,3,9,1,29,1
"1542",2,3,9,1,87,1
"1543",2,3,9,1,50,1
"1544",3,3,9,1,13,1
"1545",3,3,9,1,13,1
"1546",1,3,11,1,45,1
"1547",1,2,9,1,43,1
"1548",1,3,9,1,27,1
"1549",1,3,2,1,17,1
"1550",1,2,3,1,26,1
"1551",3,2,9,1,53,1
"1552",1,3,9,2,41,1
"1553",1,3,9,2,43,1
"1554",2,3,9,2,23,1
"1555",2,3,9,2,23,1
"1556",1,3,9,1,39,1
"1557",1,3,9,1,53,1
"1558",1,3,9,1,22,1
"1559",3,3,19,1,81,1
"1560",1,3,9,1,50,1
"1561",2,3,9,1,40,1
"1562",1,3,3,1,18,1
"1563",3,3,9,1,6,1
"1564",1,3,3,2,17,1
"1565",1,3,8,2,39,1
"1566",2,3,19,1,26,1
"1567",2,3,11,1,42,1
"1568",1,2,3,1,27,1
"1569",1,3,9,1,22,1
"1570",2,3,9,1,9,1
"1571",1,3,1,1,36,0
"1572",1,3,9,2,73,1
"1573",1,3,9,2,32,1
"1574",2,3,9,2,76,1
"1575",1,3,9,1,24,1
"1576",1,3,9,1,58,1
"1577",1,3,9,1,43,1
"1578",1,3,9,1,28,1
"1579",1,2,9,1,59,1
"1580",1,3,9,1,27,1
"1581",2,3,9,1,50,1
"1582",1,3,9,1,34,1
"1583",2,3,9,1,33,1
"1584",3,3,9,1,12,1
"1585",1,3,9,1,20,1
"1586",1,3,1,1,22,1
"1587",1,3,1,1,27,1
"1588",1,3,9,1,44,1
"1589",1,3,9,1,87,1
"1590",1,3,9,1,46,1
"1591",1,3,9,1,71,1
"1592",2,3,9,1,41,1
"1593",1,3,9,1,37,1
"1594",1,3,9,2,32,1
"1595",2,3,9,2,33,1
"1596",2,3,9,2,27,1
"1597",2,3,9,3,69,1
"1598",1,3,9,3,71,1
"1599",1,3,9,5,63,1
"1600",1,3,9,1,42,1
"1601",3,2,9,1,18,1
"1602",2,3,11,1,84,1
"1603",1,2,9,1,17,1
"1604",2,1,9,1,18,1
"1605",3,3,9,1,77,1
"1606",1,3,20,1,61,1
"1607",1,2,1,1,44,1
"1608",1,3,9,2,28,1
"1609",1,3,9,4,40,1
"1610",2,3,9,4,28,1
"1611",1,3,9,4,17,1
"1612",1,3,9,1,61,1
"1613",1,3,9,1,48,1
"1614",3,2,9,1,81,1
"1615",1,3,3,1,24,1
"1616",1,3,2,1,18,1
"1617",1,3,9,1,54,1
"1618",2,3,9,1,20,1
"1619",3,3,9,1,15,1
"1620",1,3,9,1,20,1
"1621",1,3,9,1,36,1
"1622",1,3,1,1,44,1
"1623",1,2,5,4,40,1
"1624",1,3,9,1,24,1
"1625",1,3,9,1,47,1
"1626",1,3,5,1,22,1
"1627",3,3,9,1,10,1
"1628",1,3,9,1,51,1
"1629",2,3,9,1,20,1
"1630",2,3,9,1,21,1
"1631",2,3,9,1,27,1
"1632",2,3,9,1,18,1
"1633",1,2,5,1,24,1
"1634",1,3,1,1,16,1
"1635",1,3,9,1,18,1
"1636",2,3,9,1,24,1
"1637",1,3,9,1,28,1
"1638",1,2,5,1,56,1
"1639",2,3,5,1,47,1
"1640",2,2,9,1,23,1
"1641",1,3,1,1,26,1
"1642",1,3,1,1,7,1
"1643",1,2,9,1,78,1
"1644",2,3,9,1,17,1
"1645",1,3,9,1,18,1
"1646",2,3,9,1,17,1
"1647",3,3,9,1,10,1
"1648",3,3,9,1,6,1
"1649",3,3,9,1,29,1
"1650",3,3,9,1,40,1
"1651",1,3,9,1,30,1
"1652",1,3,5,1,52,1
"1653",1,3,9,2,25,1
"1654",2,3,9,2,33,1
"1655",1,3,9,1,40,1
"1656",1,3,9,1,22,1
"1657",2,3,9,1,22,1
"1658",1,3,9,1,43,1
"1659",1,3,9,1,27,1
"1660",2,3,11,1,30,1
"1661",2,3,9,1,30,1
"1662",3,2,9,2,32,0
"1663",1,3,9,2,27,1
"1664",2,3,9,2,39,1
"1665",1,3,9,2,55,1
"1666",2,3,9,2,45,1
"1667",1,2,2,1,36,1
"1668",1,3,9,1,38,1
"1669",2,3,9,1,37,1
"1670",2,3,9,1,24,1
"1671",1,3,9,1,26,1
"1672",2,3,9,1,67,1
"1673",1,3,9,1,70,1
"1674",1,3,1,1,42,1
"1675",3,3,9,1,11,1
"1676",1,3,1,1,70,1
"1677",1,3,9,1,23,1
"1678",2,3,9,1,32,1
"1679",1,3,9,1,54,1
"1680",1,3,9,1,53,1
"1681",1,2,1,1,11,1
"1682",1,3,5,1,49,1
"1683",3,3,9,1,26,1
"1684",1,3,9,1,33,1
"1685",1,3,3,1,57,1
"1686",2,3,9,1,48,1
"1687",2,3,8,1,19,1
"1688",1,3,1,1,38,1
"1689",3,3,8,1,61,1
"1690",1,3,9,1,82,1
"1691",2,3,9,1,78,1
"1692",2,3,9,5,11,1
"1693",1,3,9,5,42,1
"1694",2,3,9,2,17,1
"1695",2,3,9,2,13,1
"1696",1,3,9,2,46,1
"1697",3,3,5,1,16,1
"1698",2,3,9,1,15,1
"1699",1,2,9,1,33,1
"1700",2,3,9,1,33,1
"1701",1,3,9,2,19,1
"1702",1,3,11,2,55,1
"1703",2,3,11,2,27,1
"1704",1,3,2,2,25,1
"1705",1,3,9,1,69,1
"1706",1,3,9,1,27,1
"1707",1,3,9,1,76,1
"1708",2,2,9,1,68,1
"1709",1,3,5,1,49,1
"1710",1,3,2,1,16,1
"1711",1,3,9,1,24,1
"1712",2,3,9,1,38,1
"1713",2,3,9,1,11,1
"1714",2,3,9,1,9,1
"1715",2,3,9,1,12,1
"1716",1,3,9,1,58,1
"1717",3,2,9,1,41,1
"1718",3,3,9,1,60,1
"1719",1,3,9,1,47,1
"1720",1,3,9,1,49,1
"1721",1,3,9,1,55,1
"1723",1,2,9,1,27,1
"1724",2,2,9,1,18,1
"1725",1,1,9,1,21,1
"1726",2,2,9,1,24,1
"1727",2,2,9,1,18,1
"1728",3,2,9,1,32,1
"1729",2,3,9,1,17,1
"1730",2,3,9,1,17,1
"1731",2,3,9,1,17,1
"1732",1,3,9,1,17,1
"1733",2,3,9,1,87,1
"1734",3,2,9,1,8,1
"1735",1,3,9,1,43,1
"1736",2,3,9,1,22,1
"1737",2,3,9,1,23,1
"1738",1,3,19,1,23,1
"1739",3,2,9,1,57,1
"1740",1,3,1,1,32,1
"1741",1,3,9,1,20,1
"1742",3,3,9,1,44,1
"1743",1,2,9,1,18,1
"1744",1,3,9,1,23,1
"1745",2,3,9,1,22,1
"1746",1,2,9,1,37,1
"1747",1,2,1,1,54,1
"1748",1,3,1,1,33,1
"1749",1,3,5,1,40,1
"1750",1,3,9,1,28,1
"1751",1,3,9,1,18,1
"1752",1,3,9,1,67,1
"1753",3,2,9,1,84,1
"1754",1,2,5,1,54,1
"1755",1,3,1,1,55,1
"1756",2,3,9,2,37,1
"1757",1,3,2,1,17,1
"1758",3,2,9,1,63,1
"1759",1,3,9,1,36,1
"1760",2,3,9,1,37,1
"1761",2,3,9,1,45,1
"1762",1,3,9,1,51,1
"1763",3,3,9,1,16,1
"1764",1,3,9,1,22,1
"1765",2,3,9,1,28,1
"1766",2,2,9,2,51,1
"1767",1,2,9,2,42,1
"1768",2,3,9,2,30,1
"1769",2,3,9,2,5,1
"1770",2,3,9,2,3,1
"1771",1,3,9,2,26,1
"1772",1,3,1,1,36,1
"1773",1,2,1,1,66,1
"1774",3,3,9,1,35,1
"1775",1,3,1,1,44,1
"1776",1,3,9,1,59,1
"1777",3,2,9,1,17,1
"1778",3,3,9,1,14,1
"1779",2,3,9,1,83,1
"1780",1,2,1,1,51,1
"1781",2,3,9,1,40,1
"1782",1,2,9,1,46,1
"1783",1,3,9,1,24,1
"1784",1,3,1,2,23,1
"1785",3,3,9,1,51,1
"1786",1,3,9,1,58,1
"1787",3,2,11,1,8,1
"1788",1,3,9,1,27,1
"1789",3,3,9,1,3,1
