"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"212",1,3,9,1,52,1
"213",1,3,5,1,62,1
"214",2,3,9,1,10,1
"215",1,3,4,1,20,1
"216",1,3,9,1,24,1
"217",1,3,11,1,44,1
"218",1,3,9,1,46,1
"219",1,2,3,1,56,1
"220",1,3,9,2,41,1
"221",1,3,9,1,45,1
"222",1,3,9,1,61,1
"223",1,3,9,2,23,1
"224",1,3,9,2,30,1
"225",1,3,9,1,53,1
"226",3,3,9,1,9,1
"227",1,3,9,2,54,1
"228",3,3,9,1,58,1
"229",1,3,9,2,61,1
"230",1,3,1,2,22,1
"231",1,3,9,2,31,1
"232",2,3,9,2,64,1
"233",1,2,9,1,31,1
"234",1,3,9,1,21,1
"235",2,3,9,1,82,1
"236",1,3,1,1,9,1
"237",1,3,4,1,36,1
"238",1,2,9,1,24,1
"239",1,2,9,1,16,1
"240",1,3,9,1,12,1
"241",1,3,3,2,25,1
"242",3,3,9,1,13,1
"243",1,2,9,2,23,1
"244",2,3,9,1,86,1
"245",1,3,9,1,36,1
"246",3,3,11,1,63,1
"247",1,3,1,1,60,1
"248",1,2,3,1,17,1
"249",3,2,9,1,8,1
"250",3,3,9,1,31,0
"251",1,2,9,1,22,1
"252",3,3,9,5,16,1
"253",1,3,5,1,47,1
"254",1,3,9,1,17,1
"255",1,3,9,1,49,1
"256",1,3,9,1,38,1
"257",1,3,9,1,90,1
"258",1,3,9,1,31,1
"259",1,1,5,1,42,1
"260",1,3,21,1,32,1
"261",1,2,1,1,41,1
"262",1,3,9,1,25,1
"263",1,3,9,1,64,1
"264",3,3,19,1,56,1
"265",1,3,9,1,32,1
"266",1,3,9,1,27,1
"267",1,3,9,1,62,1
"268",1,3,9,1,43,1
"269",3,3,9,1,87,1
"270",3,3,9,1,31,0
"271",1,3,9,1,33,1
"272",2,3,9,1,29,1
"273",2,3,8,1,27,1
"274",2,3,9,1,56,1
"275",1,3,9,1,24,1
"276",3,2,19,1,15,1
"277",2,3,9,1,30,1
"278",1,3,9,1,41,1
"279",1,3,9,1,33,1
"280",3,3,9,1,25,1
"281",1,3,9,1,34,1
"282",1,3,9,1,28,1
"283",3,3,9,1,42,1
"284",2,3,19,1,5,1
"285",1,3,9,1,23,1
"286",3,3,9,1,30,1
"287",1,2,9,1,19,1
"288",1,3,21,1,64,1
"289",3,3,9,1,27,1
"290",3,3,19,1,17,1
"291",1,3,9,1,40,1
"292",1,3,9,1,25,1
"293",2,3,9,1,25,1
"294",1,3,1,1,27,1
"295",1,2,9,1,26,1
"296",1,3,9,1,56,1
"297",1,3,9,1,61,1
"298",1,3,9,1,62,1
"299",2,2,19,1,47,1
"300",1,3,9,1,37,0
"301",1,3,9,2,51,1
"302",1,3,9,1,37,1
"303",1,3,9,1,66,1
"304",3,3,9,1,14,1
"305",1,3,3,1,27,1
"306",1,3,9,1,35,1
"307",3,3,9,1,6,1
"308",3,3,97,1,75,1
"309",3,3,9,1,10,1
"310",1,3,9,1,73,1
"311",1,3,9,1,44,1
"312",2,2,9,1,12,1
"313",1,3,9,1,60,1
"314",1,3,19,1,18,1
"315",1,2,9,1,88,1
"316",1,3,9,1,35,1
"317",1,3,9,1,67,1
"318",2,3,9,1,50,1
"319",3,3,8,1,15,1
"320",1,3,9,1,83,1
"321",1,3,9,8,46,1
"322",1,3,8,1,36,1
"323",3,3,9,1,14,1
"324",1,3,9,1,58,1
"325",2,2,9,1,23,1
"326",1,3,9,1,67,1
"327",3,3,9,1,15,1
